GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java,backend.academy,Main,24,0,0,0,11,0,1,0,1,0
java,backend.academy.render,RenderLogic,176,0,12,0,43,0,16,0,10,0
java,backend.academy.render,ThreadRender,30,0,2,0,9,0,3,0,2,0
java,backend.academy.primitives,Pixel,12,49,1,1,5,16,2,9,1,9
java,backend.academy.primitives,Point,9,0,0,0,1,0,1,0,1,0
java,backend.academy.primitives,Dye,0,77,0,0,0,16,0,7,0,7
java,backend.academy.primitives,Rect,75,0,8,0,7,0,9,0,5,0
java,backend.academy.fractalimage,FractalImageLogic,43,0,2,0,7,0,2,0,1,0
java,backend.academy.fractalimage,FractalImage,81,0,12,0,10,0,10,0,4,0
java,backend.academy.transformations,ExTransformation,62,0,0,0,8,0,2,0,2,0
java,backend.academy.transformations,LinearTransformation,5,0,0,0,2,0,2,0,2,0
java,backend.academy.transformations,AffineTransformation,44,0,0,0,5,0,2,0,2,0
java,backend.academy.transformations,AffineCoefficients,13,118,2,6,6,12,2,6,0,4
java,backend.academy.transformations,DiamondTransformation,115,0,0,0,12,0,2,0,2,0
java,backend.academy.transformations,SinusoidalTransformation,96,0,0,0,10,0,2,0,2,0
java,backend.academy.transformations,DiscTransformation,121,0,0,0,12,0,2,0,2,0
java,backend.academy.transformations,HeartTransformation,114,0,0,0,12,0,2,0,2,0
java,backend.academy.transformations,TransformationsListCreator,25,0,2,0,6,0,2,0,1,0
java,backend.academy.transformations,ExponentialTransformation,31,0,0,0,4,0,2,0,2,0
java,backend.academy.app,App,96,0,6,0,24,0,9,0,4,0
java,backend.academy.app,AppSettings,114,0,0,0,41,0,24,0,24,0
java,backend.academy.imagesaving,ImageSaver,80,0,2,0,17,0,4,0,3,0
java,backend.academy.imagesaving,ImageFormat,35,0,0,0,8,0,3,0,3,0
java,backend.academy.postprocessing,GammaLogProcessor,216,0,24,0,45,0,18,0,6,0
